SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-11-2023,Condo/Co-op,2000 Jasmine Cres #811,Ottawa,ON,K1J 8K4,259000,2,1.0,Beacon Hill South,,,1974,,,598,Sold,,,https://www.redfin.com/on/ottawa/2000-Jasmine-Cres-K1J-8K4/unit-811/home/150816631,OREB,1349918,Y,Y,45.4387224,-75.5948851
PAST SALE,July-11-2023,Single Family Residential,2004 Woodglen Cres,Ottawa,ON,K1J 6G4,1000000,2,3.0,Beacon Hill North,,5451,1970,,,,Sold,,,https://www.redfin.com/on/ottawa/2004-Woodglen-Cres-K1J-6G3/home/150617009,OREB,1350389,Y,Y,45.4590203,-75.605444
PAST SALE,July-11-2023,Condo/Co-op,1024 Redtail Pvt,Ottawa,ON,K1J 0A9,394000,,1.5,Cyrville,,,2007,,,317,Sold,,,https://www.redfin.com/on/ottawa/1024-Redtail-Pvt-K1J-0A9/home/150852985,OREB,1342067,Y,Y,45.4326908,-75.6344876
PAST SALE,July-12-2023,Single Family Residential,2061 Gatineau View Cres,Ottawa,ON,K1J 7W9,645000,4,1.5,Beacon Hill North,,2939,1971,,,,Sold,,,https://www.redfin.com/on/ottawa/2061-Gatineau-View-Cres-K1J-7W9/home/150620057,OREB,1348046,Y,Y,45.452242,-75.6013725
PAST SALE,July-13-2023,Condo/Co-op,1244 Bethamy Lane,Ottawa,ON,K1J 8P4,359000,3,2.0,Beacon Hill South,,,1978,,,442,Sold,,,https://www.redfin.com/on/ottawa/1244-Bethamy-Lane-K1J-8P3/home/150856284,OREB,1346728,Y,Y,45.4451107,-75.5982132
PAST SALE,July-13-2023,Single Family Residential,330 St Denis St,Ottawa,ON,K1L 5J2,517500,3,1.0,Vanier,,2992,1958,,,,Sold,,,https://www.redfin.com/on/ottawa/330-St-Denis-St-K1L-5J2/home/149580001,OREB,1347213,Y,Y,45.4408319,-75.6579111
PAST SALE,July-13-2023,Single Family Residential,2167 Fillmore Cres,Ottawa,ON,K1J 6A1,745000,3,2.0,Beacon Hill North,,5485,1969,,,,Sold,,,https://www.redfin.com/on/ottawa/2167-Fillmore-Cres-K1J-6A1/home/150611551,OREB,1345007,Y,Y,45.4636999,-75.5969485
PAST SALE,July-14-2023,Condo/Co-op,200 Lafontaine Ave #402,Ottawa,ON,K1L 8K8,345000,2,2.0,Vanier,,,1985,,,635,Sold,,,https://www.redfin.com/on/ottawa/200-Lafontaine-Ave-K1L-6B3/unit-402/home/149429413,OREB,1348316,Y,Y,45.4378267,-75.6562376
PAST SALE,July-14-2023,Single Family Residential,340 Spartan Ave,Ottawa,ON,K1K 1J8,682500,3,2.0,Overbrook,,5000,1957,,,,Sold,,,https://www.redfin.com/on/ottawa/340-Spartan-Ave-K1K-1J8/home/149605122,OREB,1348670,Y,Y,45.429333,-75.6537891
PAST SALE,July-16-2023,Single Family Residential,129 Duford St,Ottawa,ON,K1L 6Z4,600000,4,3.5,Beechwood Estates,,4955,,,,,Sold,,,https://www.redfin.com/on/ottawa/129-Duford-St-K1L-6Z4/home/149577318,OREB,1348215,Y,Y,45.4437271,-75.6575839
PAST SALE,July-17-2023,Single Family Residential,2104 Grafton Cres,Ottawa,ON,K1J 6K8,890000,4,2.0,Beacon Hill North,,5485,1966,,,,Sold,,,https://www.redfin.com/on/ottawa/2104-Grafton-Cres-K1J-6K8/home/150541663,OREB,1350371,Y,Y,45.4550919,-75.5956831
PAST SALE,July-18-2023,Single Family Residential,36 Appleford St,Ottawa,ON,K1J 6T8,735000,3,2.0,Cardinal Heights,,7562,1960,,,,Sold,,,https://www.redfin.com/on/ottawa/36-Appleford-St-K1J-6T8/home/150761406,OREB,1349550,Y,Y,45.4398299,-75.6080481
PAST SALE,July-18-2023,Condo/Co-op,808 Kiniw Pvt,Ottawa,ON,K1K 5A3,387500,,1.0,Wateridge Village,,,2020,,,200,Sold,,,https://www.redfin.com/on/ottawa/808-Kiniw-Pvt-K1K/home/184542175,OREB,1347190,Y,Y,45.4508898,-75.6279261
PAST SALE,July-21-2023,Condo/Co-op,515 St Laurent Blvd #2307,Ottawa,ON,K1K 3X4,331000,2,2.0,The Highlands,,,1972,,,915,Sold,,,https://www.redfin.com/on/ottawa/515-St-Laurent-Blvd-K1K-3X4/unit-2307/home/149380972,OREB,1350073,Y,Y,45.4441568,-75.6475355
PAST SALE,July-21-2023,Condo/Co-op,577 Ozawa Pvt,Ottawa,ON,K1K 4Z9,395000,,1.0,Wateridge Village,,,2020,,,202,Sold,,,https://www.redfin.com/on/ottawa/577-Ozawa-Pvt-K1K/home/176407130,OREB,1346158,Y,Y,45.4521,-75.62824
PAST SALE,July-21-2023,Condo/Co-op,768 Mikinak Rd,Ottawa,ON,K1K 5A5,401000,,1.0,Wateridge Village,,,2021,,,200,Sold,,,https://www.redfin.com/on/ottawa/768-Mikinak-Rd-K1K-0P2/home/176407153,OREB,1349441,Y,Y,45.45144,-75.62933
PAST SALE,July-21-2023,Condo/Co-op,225 Alvin Rd #401,Ottawa,ON,K1K 4H6,280000,1,1.0,Manor Park,,,1991,,,469,Sold,,,https://www.redfin.com/on/ottawa/225-Alvin-Rd-K1K-4H6/unit-401/home/149389211,OREB,1340360,Y,Y,45.4535754,-75.6493003
PAST SALE,July-21-2023,Condo/Co-op,2041 Arrowsmith 401c Dr,Ottawa,ON,K1J 7V7,255000,2,1.0,Beacon Hill South,,,1974,,,470,Sold,,,https://www.redfin.com/on/ottawa/2041-Arrowsmith-Dr-K1J-7V7/home/150782163,OREB,1349908,Y,Y,45.4385597,-75.5970144
PAST SALE,July-22-2023,Single Family Residential,161 Provender Ave,Ottawa,ON,K1K 4N6,520000,3,2.0,Cfb & Area,,1542,1992,,,,Sold,,,https://www.redfin.com/on/ottawa/161-Provender-Ave-K1K-4N6/home/149531380,OREB,1351291,Y,Y,45.4488288,-75.6286359
PAST SALE,July-22-2023,Condo/Co-op,1599 Lassiter Terr #707,Ottawa,ON,K1J 8R6,303000,2,1.5,Beaconwood,,,1976,,,786,Sold,,,https://www.redfin.com/on/ottawa/1599-Lassiter-Terr-K1J-8R6/unit-707/home/150506322,OREB,1351374,Y,Y,45.4506767,-75.5981028
PAST SALE,July-24-2023,Single Family Residential,1924 Oakdean Cres,Ottawa,ON,K1J 6H3,916000,3,2.5,Beacon Hill North,,3395,1970,,,,Sold,,,https://www.redfin.com/on/ottawa/1924-Oakdean-Cres-K1J-6H3/home/150706503,OREB,1351449,Y,Y,45.459351,-75.6101528
PAST SALE,July-26-2023,Single Family Residential,66 Carwood Cir,Ottawa,ON,K1K 4V4,650000,3,3.5,Carson Meadows,,2581,2002,,,,Sold,,,https://www.redfin.com/on/ottawa/66-Carwood-Cir-K1K-4V4/home/149442611,OREB,1346594,Y,Y,45.4432288,-75.6317111
PAST SALE,July-27-2023,Condo/Co-op,1599 Lassiter Terr #716,Ottawa,ON,K1J 8R6,308888,2,1.0,Beacon Hill North,,,1976,,,786,Sold,,,https://www.redfin.com/on/ottawa/1599-Lassiter-Terr-K1J-8R6/unit-716/home/150505536,OREB,1353107,Y,Y,45.4506767,-75.5981028
PAST SALE,July-27-2023,Single Family Residential,11 Amberly Pl,Ottawa,ON,K1J 7J9,1022500,4,3.0,Rothwell Heights,,14941,1950,,,,Sold,,,https://www.redfin.com/on/ottawa/11-Amberly-Pl-K1J-7J9/home/150587588,OREB,1351861,Y,Y,45.4490213,-75.6147113
PAST SALE,July-27-2023,Condo/Co-op,665 Bathgate Dr #2102,Ottawa,ON,K1K 3Y4,285000,2,1.0,Carson Grove-carson Meadows,,,1974,,,616,Sold,,,https://www.redfin.com/on/ottawa/665-Bathgate-Dr-K1K-3Y4/unit-2102/home/149377244,OREB,1347435,Y,Y,45.4460196,-75.624861
PAST SALE,July-27-2023,Multi-Family (2-4 Unit),249 Deschamps Ave,Ottawa,ON,K1L 5Z2,690000,4,,Vanier,,3133,,,,,Sold,,,https://www.redfin.com/on/ottawa/249-Deschamps-Ave-K1L-5Z2/home/149606601,OREB,1351504,Y,Y,45.4371461,-75.6623148
PAST SALE,July-28-2023,Condo/Co-op,1214 Lassiter Terr,Ottawa,ON,K1J 8N1,375100,3,1.5,Beaconwood,,,1976,,,433,Sold,,,https://www.redfin.com/on/ottawa/1214-Lassiter-Terr-K1J-1B6/home/150457975,OREB,1353332,Y,Y,45.4494289,-75.5978743
PAST SALE,July-28-2023,Single Family Residential,198 Burma Rd,Ottawa,ON,K1K 4N6,535000,3,1.5,Thorncliffe Village,,2176,1992,,,,Sold,,,https://www.redfin.com/on/ottawa/198-Burma-Rd-K1K-4R1/home/149613447,OREB,1345518,Y,Y,45.4491946,-75.6260955
PAST SALE,July-28-2023,Single Family Residential,269 Squadron Cres,Ottawa,ON,K1K 5A4,630000,2,2.5,Cfb,,1265,2021,,,95,Sold,,,https://www.redfin.com/on/ottawa/269-Squadron-Cres-K1K/home/175381143,OREB,1349035,Y,Y,45.4503309,-75.628541
PAST SALE,July-28-2023,Condo/Co-op,2111 Montreal Rd #155,Ottawa,ON,K1J 8M8,545000,4,1.5,Beacon Hill North,,,1975,,,466,Sold,,,https://www.redfin.com/ON/Gloucester/2111-Montreal-Rd-K1J-8M8/unit-155/home/186242144,OREB,1353853,Y,Y,45.449636,-75.5908061
PAST SALE,July-28-2023,Single Family Residential,104 Black Maple Pvt,Ottawa,ON,K1M 0T7,1830000,3,3.5,Rockcliffe Park,,3758,2008,,,100,Sold,,,https://www.redfin.com/on/ottawa/104-Black-Maple-Pvt-K1M-1J7/home/148843133,OREB,1329709,Y,Y,45.4436071,-75.6714309
